	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Sat Nov  2 20:47:52 2013

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 2097152 kilobytes.
	Command line used: iozone -Ra -g 2G -b iozone_results/iozone-run-5.csv
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
          262144     512  896439 2087834  6235717  6283253 6208990 2373761 6183951  4115419  6210182  2022515  2016040 6260179  6272750
          262144    1024  903028 2117785  6317151  6387206 6330463 2260073 6379942  4001093  6320383  1819158  1916283 6354390  6379609
          262144    2048  904400 2124722  6317187  6379572 6351747 2273325 6355308  4036522  6306860  1655741  1739610 6300463  6354684
          262144    4096  905346 2121234  6254019  6361927 6305016 2278106 6232924  4091589  6282356  1566093  1652049 6227593  6304112
          262144    8192  897283 2078197  5582416  5667123 5601128 2365259 5468851  3487492  5712704  1487585  1541980 5512889  5641390
          262144   16384  877002 1963757  3878501  3884530 3881252 2091010 3847421  2280563  3784323  1478400  1541852 3817009  3861203
          524288      64  847048 1932511  6081591  6114923 5518005 1962912 5596706  3942811  5553722  1920160  1918122 6084266  6094958
          524288     128  874158 2025029  6206498  6226038 5817032 2108216 5909322  4263814  5887694  1953185  2111637 6208110  6207532
          524288     256  890921 2066730  6104399  6129514 5972947 2178750 5965688  4151553  5961273  1987852  1986239 6104246  6121136
          524288     512  891952 2113177  6307598  6345933 6239659 2228719 6246572  3888946  6233574  2018882  2168164 6326089  6340316
          524288    1024  905246 2146021  6397422  6428975 6404764 2276532 6396883  4141163  6372764  1834983  1934784 6441196  6448336
          524288    2048  909786 2167582  6443725  6506990 6451665 2311430 6433620  4128351  6455491  1675035  1750520 6454601  6485745
          524288    4096  914778 2169815  6352459  6451911 6427791 2310289 6358098  4114547  6289666  1582928  1582063 6367358  6416294
          524288    8192  899591 2120356  5746754  5797907 5744667 2258800 5725790  3466572  5708904  1481695  1538647 5630727  5710446
          524288   16384  881363 1998741  3888657  3910613 3910669 2124740 3900085  2263061  3898315  1453122  1452917 3899379  3909654
         1048576      64  850134 1960248  6203966  6203931 5687714 2027286 5802571  4156198  5754671  1979783  1988605 6297526  6304685
         1048576     128  885422 2095052  6388416  6385466 5951768 2163738 6069269  4313866  5904973  1983861  1970693 6241641  6267944
         1048576     256  891522 2092156  6110045  6121501 5943966 2186647 5967314  4102648  5950206  1997158  2143332 6091622  6110546
         1048576     512  905713 2144748  6344887  6411428 6298780 2262026 6297752  4139268  6295182  2059463  2054822 6391768  6393552
         1048576    1024  913142 2187491  6490481  6516939 6465064 2302654 6465150  4109967  6450197  1831670  1832194 6512606  6496991
         1048576    2048  914903 2187258  6470134  6523512 6509868 2320931 6464238  4031078  6408728  1670518  1664617 6455196  6470971
         1048576    4096  913660 2183519  6380492  6497001 6457982 2319083 6409391  4100468  6457110  1589770  1590546 6455044  6484185
         1048576    8192  906041 2148603  5693951  5804072 5795094 2268349 5632752  3332452  5764483  1477169  1477814 5845389  5874010
         1048576   16384  883067 2025486  3931774  3947208 3937483 2139973 3944950  2265927  3937797  1445291  1439181 3924560  3927220
         2097152      64  852627 1973818  6172996  6199051 5532854 1982950 5696955  3778032  5608512  1939573  1942967 6182168  6188623
         2097152     128  878844 2065182  6303148  6339445 5889521 2123530 6031794  4208224  5959901  1974473  1972017 6315997  6325636
         2097152     256  894291 2108419  6127060  6178177 5979068 2194713 6015821  4079491  5995647  2011322  2011087 6192391  6197256
         2097152     512  911253 2164790  6388809  6455138 6341305 2269625 6350154  4127749  6327642  2056085  2056424 6439302  6442528
         2097152    1024  918443 2196237  6500361  6580642 6513174 2300636 6395940  4097104  6411483  1828757  1829488 6471308  6474090
         2097152    2048  914108 2182975  6447775  6517609 6473452 2315862 6482034  4053680  6474447  1656429  1665160 6506107  6511964
         2097152    4096  918823 2201258  6393388  6480271 6448134 2319945 6409587  4054104  6398066  1576144  1593253 6501567  6521441
         2097152    8192  910121 2134658  5861108  5922482 5682877 2259309 5817907  3427218  5846239  1468459  1472820 5711104  5862995
         2097152   16384  886347 2033524  3902302  3929155 3900103 2132337 3889058  2240767  3906954  1430578  1429831 3915401  3931947

iozone test complete.
Excel output is below:

"Writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   404998  532815  571375  598110  645579 
"128"   457376  574312  640042  677178  711270  727658 
"256"   510866  577651  690151  713067  764334  769263  787890 
"512"   476286  628138  684608  750656  785528  760762  804962  601568 
"1024"   522196  628212  710052  774034  793189  817185  825827  698504  790707 
"2048"   526221  639807  723374  763834  823436  836263  854736  857980  868915  872268 
"4096"   533407  651695  741892  798736  831680  848899  856048  863969  870933  870183  874613 
"8192"   532050  639896  726947  781599  901716  840115  837617  843829  852878  850050  859147  877087 
"16384"   534707  657251  742665  805585  835537  852579  863181  870971  869175  875543  879341  861720  861763 
"32768"   0  0  0  0  838462  854067  864364  874233  800801  882570  885356  875352  859354 
"65536"   0  0  0  0  843764  862543  874269  887599  896855  891416  892580  885332  840043 
"131072"   0  0  0  0  851980  871274  882740  890174  898159  897177  904830  887582  871270 
"262144"   0  0  0  0  856875  874974  887658  896439  903028  904400  905346  897283  877002 
"524288"   0  0  0  0  847048  874158  890921  891952  905246  909786  914778  899591  881363 
"1048576"   0  0  0  0  850134  885422  891522  905713  913142  914903  913660  906041  883067 
"2097152"   0  0  0  0  852627  878844  894291  911253  918443  914108  918823  910121  886347 

"Re-writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   1083249  1452528  1734015  1947927  2067979 
"128"   1165070  1561553  1885042  2132084  2336194  2367096 
"256"   1175022  1662639  1967260  2266207  2350543  2509882  1718521 
"512"   984720  1599251  2039772  2350044  2532990  2638816  1992458  2655129 
"1024"   1196101  1589665  2094282  2375790  2619192  2516377  2672984  2290886  2730767 
"2048"   1149338  1559876  1853353  2142232  2308622  2386884  2309242  2400894  2415069  2378952 
"4096"   1081324  1422197  1708113  1918508  2048928  2092858  2097457  2134461  2161586  2170598  2154808 
"8192"   1048646  1357190  1611332  1803205  1918059  1982581  1985904  1996173  2032302  2032783  2041357  2097945 
"16384"   1048371  1344598  1619145  1811371  1928004  1991245  2008354  2004195  2018678  2043166  2026178  1931363  1856740 
"32768"   0  0  0  0  1857187  1930598  1948747  1981393  2000019  2001592  1986060  1955123  1828769 
"65536"   0  0  0  0  1885271  1969465  1989017  2025214  2046017  2043583  2045240  2002566  1878469 
"131072"   0  0  0  0  1916481  1994522  2032911  2065626  2087771  2089191  2095107  2044387  1937582 
"262144"   0  0  0  0  1951025  2034016  2053776  2087834  2117785  2124722  2121234  2078197  1963757 
"524288"   0  0  0  0  1932511  2025029  2066730  2113177  2146021  2167582  2169815  2120356  1998741 
"1048576"   0  0  0  0  1960248  2095052  2092156  2144748  2187491  2187258  2183519  2148603  2025486 
"2097152"   0  0  0  0  1973818  2065182  2108419  2164790  2196237  2182975  2201258  2134658  2033524 

"Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   1780008  2923952  4018152  5735102  10821524 
"128"   2132084  3124872  4135958  5325799  6727225  9977956 
"256"   2131261  3087188  4054829  5117791  6249745  6891544  8888172 
"512"   2124526  3201349  4061007  5127637  5509113  6104175  6652558  8992598 
"1024"   2052253  3160839  4064103  4904018  5472650  5690162  5950309  6733974  9045736 
"2048"   2248199  3367537  4358590  5349298  5920802  6058611  6225466  6479029  7368238  9101380 
"4096"   2324492  3634562  4876757  6198078  6978564  7123239  7355007  7585581  8480511  8920873  9062041 
"8192"   2405166  3901055  5016894  6380868  7455236  7612143  7683638  7908233  8358395  8350269  8191020  7367317 
"16384"   2219420  3404177  4417609  5420027  6081474  6101994  6192167  7105134  7311511  6466008  6556072  5866036  4247762 
"32768"   0  0  0  0  5836840  5673011  5744861  5898716  5998346  6043715  6046906  5643891  3994179 
"65536"   0  0  0  0  5937810  5813608  5843144  6019601  6144472  6167495  6093528  5540686  3851621 
"131072"   0  0  0  0  6070101  6025196  5984726  6210189  6271111  6265108  6196051  5597997  3880159 
"262144"   0  0  0  0  6150122  6141226  6069257  6235717  6317151  6317187  6254019  5582416  3878501 
"524288"   0  0  0  0  6081591  6206498  6104399  6307598  6397422  6443725  6352459  5746754  3888657 
"1048576"   0  0  0  0  6203966  6388416  6110045  6344887  6490481  6470134  6380492  5693951  3931774 
"2097152"   0  0  0  0  6172996  6303148  6127060  6388809  6500361  6447775  6393388  5861108  3902302 

"Re-Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   2801873  4564786  6421025  9006179  10402178 
"128"   2727923  4759253  6406138  7917784  9795896  9795896 
"256"   2639446  4332998  5971678  7791708  9518507  9868433  8815202 
"512"   2584820  4195896  5684095  7540170  8808176  9145790  8992598  8992598 
"1024"   2579861  4195100  5720477  7524394  8840915  8988941  8750850  8988941  9142007 
"2048"   2537792  4033201  5723548  7477273  8793903  8903279  8830061  9062970  9140117  9189005 
"4096"   2544108  4226492  5728903  7515892  8712759  8497289  8847367  9105266  9183139  9163546  9144037 
"8192"   2583282  4306915  5681356  7399047  8642207  8790341  8605412  9021131  8904241  9083135  8962305  7809376 
"16384"   2410126  3795229  5034834  6397385  7285157  7457506  7317740  7667183  7581746  7291341  7034583  6516903  4318230 
"32768"   0  0  0  0  5873508  5812894  5812894  6009099  6084922  6140929  6242740  5887094  4023058 
"65536"   0  0  0  0  5947574  5883037  5920162  6119166  6225040  6245123  6232662  5788389  3905358 
"131072"   0  0  0  0  6102105  6049994  6022094  6260043  6325517  6309763  6297908  5779736  3896992 
"262144"   0  0  0  0  6171283  6148128  6093407  6283253  6387206  6379572  6361927  5667123  3884530 
"524288"   0  0  0  0  6114923  6226038  6129514  6345933  6428975  6506990  6451911  5797907  3910613 
"1048576"   0  0  0  0  6203931  6385466  6121501  6411428  6516939  6523512  6497001  5804072  3947208 
