	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Sat Nov  2 20:46:19 2013

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 2097152 kilobytes.
	Command line used: iozone -Ra -g 2G -b iozone_results/iozone-run-5.csv
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
         1048576     256  983531 2280747  6525980  6578605 6456949 2403349 6514555  4946461  6466547  2208002  2205786 6536319  6573561
         1048576     512  994677 2295566  6643958  6723630 6654291 2461776 6611577  4624349  6657545  2187615  2378078 6704279  6718023
         1048576    1024 1006980 2385800  6736452  6814600 6765186 2538451 6784315  4626981  6685253  2257949  2245022 6802005  6775535
         1048576    2048  998448 2378527  6736968  6821735 6790107 2540209 6788483  4613323  6787299  2235936  2229836 6781323  6786157
         1048576    4096  997896 2356731  6539206  6608031 6585333 2523472 6554545  4608701  6586201  2191335  2342187 6559257  6593488
         1048576    8192  983071 2270441  5860914  5920673 5902215 2420552 5857183  3764896  5879750  1879407  1998890 5869706  5898922
         1048576   16384  964978 2123288  3873058  3900094 3900530 2262431 3900544  2456551  3893910  1605868  1606658 3899168  3901475
         2097152      64  998142 2361466  7283675  7327575 6945407 2392375 7185201  5571026  7038204  2302182  2299816 7295225  7306436
         2097152     128  999078 2383747  7027638  7071048 6698626 2483603 6978319  4595511  6803504  2268947  2271077 7050644  7066186
         2097152     256 1000836 2369422  6556552  6592370 6495503 2496410 6565542  4741234  6519575  2237033  2237814 6594238  6603664
