	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Sat Nov  2 02:10:24 2013

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 2097152 kilobytes.
	Command line used: iozone -Ra -g 2G -b iozone_results/iozone-run-2.csv
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
         2097152     256  252402  276971   221944   242618   30293  136043   34005  2971358    40401   262033   187738  197453   234854
         2097152     512  258579  266419   220522   237092   34556  154383   40151  3064121    45695   250881   214917  200629   243082
         2097152    1024  255884  293052   244438   278708   47640  157201   48033  2438580    53241   237785   194297  224071   280966
         2097152    2048  254541  271172   223700   294182   69061  171323   69332  2085489    76639   249118   222168  215638   266247
         2097152    4096  271602  223503   237221   223758  105923  217527  112540  1638342   119979   256976   223794  211642   297696
         2097152    8192  258752  277872   235707   261781  159465  230582  152282  1605085   164745   263657   215545  214068   234463
         2097152   16384  269508  280052   263251   296345  202761  254467  195341  1555826   245579   272451   235873  254044   282415

iozone test complete.
Excel output is below:

"Writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   404998  532815  561808  615952  598110 
"128"   460514  565838  643108  680612  699227  662962 
"256"   463657  585845  408297  508929  686620  731528  689708 
"512"   457514  577932  675563  714207  736750  755144  755144  718028 
"1024"   477812  574285  634429  675861  712053  566408  709114  705271  680465 
"2048"   469836  551421  622107  649532  687040  700429  712337  711098  702836  673466 
"4096"   464335  544618  542006  681529  688494  707316  708278  707170  694927  672249  647080 
"8192"   467048  543307  617283  651297  678150  669600  698144  702929  687995  680124  645595  625771 
"16384"   458769  545952  606142  651630  667835  685694  683179  671614  649155  640026  642383  641298  627358 
"32768"   0  0  0  0  667222  654509  684222  688576  677824  652982  641743  631184  622871 
"65536"   0  0  0  0  644075  671887  676143  674863  674342  613156  615304  587287  575624 
"131072"   0  0  0  0  528053  540839  535493  528716  514302  520393  476577  512420  507411 
"262144"   0  0  0  0  455903  458082  437174  460414  448444  447465  449286  430012  443234 
"524288"   0  0  0  0  422838  402854  431868  225225  406214  360495  383692  346831  419714 
"1048576"   0  0  0  0  274713  353109  366490  234492  340421  385366  392855  389096  387961 
"2097152"   0  0  0  0  241401  261108  252402  258579  255884  254541  271602  258752  269508 

"Re-writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   1033216  1330167  1679761  1879725  2067979 
"128"   1067750  1421023  1424795  1967960  2027414  2098744 
"256"   1040643  1415041  1272498  1437779  2081678  2187712  2247235 
"512"   996139  1316016  1736314  1783912  1809465  1945526  693675  1361920 
"1024"   997946  1253710  1136593  1718120  1766163  1662907  1942715  1831694  1885572 
"2048"   961939  1150570  1430986  1558743  1688337  1734007  1750616  1688337  1785550  1709505 
"4096"   910828  971063  1222348  1482965  1364477  1611347  1617567  1580803  1376282  1472795  1454958 
"8192"   859319  1130856  1131676  1455809  1531264  1408774  1569955  1607487  1508143  1542745  1401305  1385875 
"16384"   872785  1116141  1310195  1421591  1504208  1591767  1547115  1544195  1441632  1470727  1380996  1345572  1361272 
"32768"   0  0  0  0  1546746  1535308  1601482  1516269  1563070  1498922  1398189  1361471  1347641 
"65536"   0  0  0  0  1517423  1574818  1568330  1594162  1306461  1452230  1330272  1352706  1335838 
"131072"   0  0  0  0  1075780  1145855  1148154  1157023  1128392  1097617  972979  998802  1014974 
"262144"   0  0  0  0  833062  834749  862846  818744  809651  832041  811126  606838  727355 
"524288"   0  0  0  0  341603  330532  379805  370327  332031  283805  317457  322635  333965 
"1048576"   0  0  0  0  246583  208711  285388  297529  251648  332504  315035  306097  334515 
"2097152"   0  0  0  0  217652  238230  276971  266419  293052  271172  223503  277872  280052 

"Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   2203800  3203069  5283570  6421025  7100397 
"128"   2558895  3468030  5325799  7176872  7476717  8036304 
"256"   2588541  3454704  4054829  5117791  8024634  8208677  9114515 
"512"   2391924  3086326  4340054  4340054  5760329  7758090  7211022  8992598 
"1024"   1687075  2867506  4095102  5200941  5330028  5194651  5330028  6128613  6317933 
"2048"   1658350  2354177  3271351  2645657  4490751  4945823  4775354  4741090  4948672  4265523 
"4096"   2000030  2459958  3354260  3324403  2898672  3621537  3630721  3806915  3413576  3621537  3054304 
"8192"   1815976  2322576  2832670  3301977  3372633  3479888  3602478  3323375  3678455  3460959  2918320  2624722 
"16384"   1833262  2276549  2798844  3142351  3257803  3579548  3627160  3580294  3435491  3134468  2723849  2592033  2514819 
"32768"   0  0  0  0  3530611  3480012  3479308  3617213  3503431  3309166  2888841  2538968  2511731 
"65536"   0  0  0  0  3589430  3644348  3562310  3605627  3389336  3211272  2787926  2530060  2511910 
"131072"   0  0  0  0  3281129  3706157  3493778  3832845  3349906  3089196  2715167  2673964  2561951 
"262144"   0  0  0  0  3691447  3488698  3754241  3487813  3722794  3227177  2947556  2610811  2507788 
"524288"   0  0  0  0  3340519  3383660  4039012  3699936  3441093  3292149  3051982  2551453  2499404 
"1048576"   0  0  0  0  202190  177326  181250  169632  175602  166384  182412  217602  267548 
"2097152"   0  0  0  0  196945  186173  221944  220522  244438  223700  237221  235707  263251 

"Re-Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   2662899  3363612  5389653  7100397  7940539 
"128"   2608629  3468030  5603747  6727225  7917784  8548124 
"256"   2187712  2975955  4264168  5217259  8024634  8815202  9114515 
"512"   2651850  3510074  5566231  6931711  7871843  8528336  8955098  8992598 
"1024"   2612819  3239514  5277632  6519323  7537599  8593274  8457895  8610501  6609617 
"2048"   2031771  3079044  4603874  5212953  5611381  6440169  6243566  6363830  5596757  4310472 
"4096"   2212815  2915397  4003879  4617244  3828122  4671228  4692920  5178081  3730046  3781775  3086681 
"8192"   1748960  2381329  2775915  3471099  3556980  3569544  3799676  3558822  3747460  3481651  2850293  2608780 
